GENUS,APGIII_FAMILY,STATUS
Acroschisma,Andreaeaceae,Accepted by TPL
Acroschizocarpus,Brassicaceae,Unresolved at TPL
Acroscyphella,Balantiopsaceae,Accepted by TPL
Acroscyphus,Balantiopsaceae,Accepted by TPL
Acrosepalum,Malvaceae,Unresolved at TPL
Acrosorus,Polypodiaceae,Accepted by TPL
Acrospira,Asparagaceae,Unresolved at TPL
Acrostachys,Loranthaceae,Unresolved at TPL
Acrostemon,Ericaceae,Accepted by TPL
Acrostephanus,Loranthaceae,Unresolved at TPL
Acrostichum,Pteridaceae,Accepted by TPL
Acrostolia,Aneuraceae,Accepted by TPL
Acrosynanthus,Rubiaceae,Accepted by TPL
Acrotome,Lamiaceae,Accepted by TPL
Acrotrema,Dilleniaceae,Accepted by TPL
Acrotriche,Ericaceae,Accepted by TPL
Acrymia,Lamiaceae,Accepted by TPL
Acsmithia,Cunoniaceae,Accepted by TPL
Actaea,Ranunculaceae,Accepted by TPL
Actephila,Phyllanthaceae,Accepted by TPL
Actephilopsis,Euphorbiaceae,Unresolved at TPL
Actinanthella,Loranthaceae,Accepted by TPL
Actinanthus,Apiaceae,Accepted by TPL
Actinea,Asteraceae,Accepted by TPL
Actinella,Asteraceae,Accepted by TPL
Actinidia,Actinidiaceae,Accepted by TPL
Actinidiaceae,Actinidiaceae,Accepted by TPL
Actiniopteris,Pteridaceae,Accepted by TPL
Actinobole,Asteraceae,Accepted by TPL
Actinocarya,Boraginaceae,Accepted by TPL
Actinocephalus,Eriocaulaceae,Accepted by TPL
Actinocheita,Anacardiaceae,Accepted by TPL
Actinocladum,Poaceae,Accepted by TPL
Actinodaphne,Lauraceae,Accepted by TPL
Actinodium,Myrtaceae,Accepted by TPL
Actinodontium,Daltoniaceae,Accepted by TPL
Actinokentia,Arecaceae,Accepted by TPL
Actinolema,Apiaceae,Accepted by TPL
Actinolepis,Asteraceae,Unresolved at TPL
Actinomeris,Asteraceae,Unresolved at TPL
Actinophlebia,Cyatheaceae,Unresolved at TPL
Actinorhytis,Arecaceae,Accepted by TPL
Actinoschoenus,Cyperaceae,Accepted by TPL
Actinoscirpus,Cyperaceae,Accepted by TPL
Actinoseris,Asteraceae,Accepted by TPL
Actinospermum,Asteraceae,Accepted by TPL
Actinospora,Ranunculaceae,Unresolved at TPL
Actinostachys,Schizaeaceae,Accepted by TPL
Actinostemma,Cucurbitaceae,Accepted by TPL
Actinostemon,Euphorbiaceae,Accepted by TPL
Actinostrobus,Cupressaceae,Accepted by TPL
Actinothuidium,Thuidiaceae,Accepted by TPL
Actinotus,Apiaceae,Accepted by TPL
Acuan,Fabaceae,Unresolved at TPL
Acuania,Fabaceae,Accepted by TPL
Acuba,Cornaceae,Unresolved at TPL
Acunaeanthus,Rubiaceae,Accepted by TPL
Acustelma,Apocynaceae,Unresolved at TPL
Acuston,Brassicaceae,Unresolved at TPL
Acystopteris,Cystopteridaceae,Accepted by TPL
Ada,Orchidaceae,Accepted by TPL
Adamantinia,Orchidaceae,Accepted by TPL
Adamea,Melastomataceae,Accepted by TPL
Adamia,Hydrangeaceae,Unresolved at TPL
Adansonia,Malvaceae,Accepted by TPL
Addisonia,Asteraceae,Unresolved at TPL
Adectum,Dennstaedtiaceae,Accepted by TPL
Adelanthaceae,Adelanthaceae,Accepted by TPL
Adelanthus,Icacinaceae,Accepted by TPL
Adelbertia,Melastomataceae,Unresolved at TPL
Adelia,Euphorbiaceae,Accepted by TPL
Adelia,Oleaceae,Unresolved at TPL
Adelobotrys,Melastomataceae,Accepted by TPL
Adelocaryum,Boraginaceae,Accepted by TPL
Adelocolia,Adelanthaceae,Accepted by TPL
Adeloda,Acanthaceae,Unresolved at TPL
Adelostemma,Apocynaceae,Accepted by TPL
Adelostigma,Asteraceae,Accepted by TPL
Adelothecium,Daltoniaceae,Accepted by TPL
Adelphia,Malpighiaceae,Accepted by TPL
Adenacanthus,Acanthaceae,Unresolved at TPL
Adenachaena,Asteraceae,Unresolved at TPL
Adenandra,Rutaceae,Accepted by TPL
Adenanthe,Ochnaceae,Unresolved at TPL
Adenanthellum,Asteraceae,Accepted by TPL
Adenanthera,Fabaceae,Accepted by TPL
Adenanthos,Proteaceae,Accepted by TPL
Adenarake,Ochnaceae,Accepted by TPL
Adenaria,Lythraceae,Accepted by TPL
Adenarium,Caryophyllaceae,Unresolved at TPL
Adenema,Gentianaceae,Unresolved at TPL
Adenia,Passifloraceae,Accepted by TPL
Adenium,Apocynaceae,Accepted by TPL
Adenoa,Passifloraceae,Accepted by TPL
Adenobasium,Elaeocarpaceae,Unresolved at TPL
Adenocalymma,Bignoniaceae,Accepted by TPL
Adenocalyx,Fabaceae,Unresolved at TPL
Adenocarpus,Fabaceae,Accepted by TPL
Adenocaulon,Asteraceae,Accepted by TPL
Adenochilus,Orchidaceae,Accepted by TPL
Adenochlaena,Euphorbiaceae,Accepted by TPL
Adenocline,Euphorbiaceae,Accepted by TPL
Adenocritonia,Asteraceae,Accepted by TPL
Adenodaphne,Lauraceae,Unresolved at TPL
Adenoderris,Dryopteridaceae,Accepted by TPL
Adenodolichos,Fabaceae,Accepted by TPL
Adenoglossa,Asteraceae,Accepted by TPL
Adenogramma,Molluginaceae,Accepted by TPL
Adenola,Onagraceae,Unresolved at TPL
Adenolinum,Linaceae,Unresolved at TPL
Adenolisianthus,Gentianaceae,Accepted by TPL
Adenolobus,Fabaceae,Accepted by TPL
Adenoncos,Orchidaceae,Accepted by TPL
Adenonema,Caryophyllaceae,Unresolved at TPL
Adenoon,Asteraceae,Accepted by TPL
Adenopappus,Asteraceae,Accepted by TPL
Adenopeltis,Euphorbiaceae,Accepted by TPL
Adenophaedra,Euphorbiaceae,Accepted by TPL
Adenophora,Campanulaceae,Accepted by TPL
Adenophorus,Polypodiaceae,Accepted by TPL
Adenophyllum,Asteraceae,Accepted by TPL
Adenoplea,Scrophulariaceae,Unresolved at TPL
Adenoplusia,Scrophulariaceae,Unresolved at TPL
Adenopodia,Fabaceae,Accepted by TPL
Adenopogon,Gentianaceae,Unresolved at TPL
Adenoporces,Malpighiaceae,Unresolved at TPL
Adenopus,Cucurbitaceae,Unresolved at TPL
Adenorachis,Rosaceae,Unresolved at TPL
Adenorandia,Rubiaceae,Accepted by TPL
Adenosacme,Rubiaceae,Unresolved at TPL
Adenosciadium,Apiaceae,Accepted by TPL
Adenosma,Plantaginaceae,Accepted by TPL
Adenosolen,Asteraceae,Unresolved at TPL
Adenostachya,Acanthaceae,Unresolved at TPL
Adenostegia,Orobanchaceae,Unresolved at TPL
Adenostemma,Asteraceae,Accepted by TPL
Adenostephanus,Proteaceae,Unresolved at TPL
Adenostoma,Rosaceae,Accepted by TPL
Adenostyles,Asteraceae,Accepted by TPL
Adenostylium,Asteraceae,Unresolved at TPL
Adenothamnus,Asteraceae,Accepted by TPL
Adesmia,Fabaceae,Accepted by TPL
Adhatoda,Acanthaceae,Accepted by TPL
Adianthum,Pteridaceae,Unresolved at TPL
Adiantopsis,Pteridaceae,Accepted by TPL
Adiantum,Pteridaceae,Accepted by TPL
Adicea,Urticaceae,Unresolved at TPL
Adike,Urticaceae,Unresolved at TPL
Adina,Rubiaceae,Accepted by TPL
Adinandra,Pentaphylacaceae,Accepted by TPL
Adinandrella,Pentaphylacaceae,Unresolved at TPL
Adinauclea,Rubiaceae,Accepted by TPL
Adipera,Fabaceae,Unresolved at TPL
Adiscanthus,Rutaceae,Accepted by TPL
Adlumia,Papaveraceae,Accepted by TPL
Adnaria,Styracaceae,Unresolved at TPL
Adoketon,Amaranthaceae,Unresolved at TPL
Adolia,Rhamnaceae,Unresolved at TPL
Adolphia,Rhamnaceae,Accepted by TPL
Adonanthe,Ranunculaceae,Unresolved at TPL
Adonidia,Arecaceae,Accepted by TPL
Adonis,Ranunculaceae,Accepted by TPL
Adopogon,Asteraceae,Accepted by TPL
Adorium,Apiaceae,Unresolved at TPL
Adoxa,Adoxaceae,Accepted by TPL
Adoxaceae,Adoxaceae,Accepted by TPL
Adrastaea,Dilleniaceae,Unresolved at TPL
Adriana,Euphorbiaceae,Accepted by TPL
Adromischus,Crassulaceae,Accepted by TPL
Adrorhizon,Orchidaceae,Accepted by TPL
Adyseton,Brassicaceae,Unresolved at TPL
Aechmandra,Cucurbitaceae,Unresolved at TPL
Aechmanthera,Acanthaceae,Liu et al.(2015)
Aechmea,Bromeliaceae,Accepted by TPL
Aechmophora,Poaceae,Unresolved at TPL
Aechopsis,Bromeliaceae,Unresolved at TPL
Aedesia,Asteraceae,Accepted by TPL
Aegialina,Poaceae,Unresolved at TPL
Aegialitis,Plumbaginaceae,Accepted by TPL
Aegialophila,Asteraceae,Unresolved at TPL
Aegiceras,Primulaceae,Accepted by TPL
Aegilops,Poaceae,Accepted by TPL
Aegilotrichum,Poaceae,Unresolved at TPL
Aegilotriticum,Poaceae,Accepted by TPL
Aeginetia,Orobanchaceae,Accepted by TPL
Aegiphila,Lamiaceae,Accepted by TPL
Aegle,Rutaceae,Accepted by TPL
Aeglopsis,Rutaceae,Accepted by TPL
Aegochloa,Polemoniaceae,Unresolved at TPL
Aegokeras,Apiaceae,Accepted by TPL
Aegonychon,Boraginaceae,Accepted by TPL
Aegopodium,Apiaceae,Accepted by TPL
Aegopogon,Poaceae,Accepted by TPL
Aelbroeckia,Poaceae,Unresolved at TPL
Aellenia,Amaranthaceae,Unresolved at TPL
Aeluropus,Poaceae,Accepted by TPL
Aenhenrya,Orchidaceae,Accepted by TPL
Aenictophyton,Fabaceae,Accepted by TPL
Aenigmatanthera,Malpighiaceae,Accepted by TPL
Aenigmopteris,Tectariaceae,Accepted by TPL
Aeolanthus,Lamiaceae,Accepted by TPL
Aeollanthus,Lamiaceae,Accepted by TPL
Aeonia,Orchidaceae,Unresolved at TPL
Aeonichryson,Crassulaceae,Unresolved at TPL
Aeoniopsis,Plumbaginaceae,Unresolved at TPL
Aeonium,Crassulaceae,Accepted by TPL
Aequatoriella,Thuidiaceae,Accepted by TPL
Aequatorium,Asteraceae,Accepted by TPL
Aerangis,Orchidaceae,Accepted by TPL
Aeranthes,Orchidaceae,Accepted by TPL
Aeranthus,Orchidaceae,Unresolved at TPL
Aerides,Orchidaceae,Accepted by TPL
Aeridostachya,Orchidaceae,Liu et al.(2015)
Aeridovanda,Orchidaceae,Unresolved at TPL
Aerobryidium,Meteoriaceae,Accepted by TPL
Aerobryopsis,Meteoriaceae,Accepted by TPL
Aerobryum,Meteoriaceae,Accepted by TPL
Aerolindigia,Brachytheciaceae,Accepted by TPL
Aerva,Amaranthaceae,Accepted by TPL
Aeschrion,Simaroubaceae,Unresolved at TPL
Aeschynanthus,Gesneriaceae,Accepted by TPL
Aeschynomene,Fabaceae,Accepted by TPL
Aesculus,Sapindaceae,Accepted by TPL
Aetanthus,Loranthaceae,Accepted by TPL
Aetheilema,Acanthaceae,Unresolved at TPL
Aetheolaena,Asteraceae,Accepted by TPL
Aetheolirion,Commelinaceae,Accepted by TPL
Aetheopappus,Asteraceae,Unresolved at TPL
Aetheorhiza,Asteraceae,Accepted by TPL
Aetheorhyncha,Orchidaceae,Accepted by TPL
Aethephyllum,Aizoaceae,Accepted by TPL
Aetheria,Orchidaceae,Unresolved at TPL
Aethionema,Brassicaceae,Accepted by TPL
Aethusa,Apiaceae,Accepted by TPL
Aetopteron,Dryopteridaceae,Unresolved at TPL
Aetoxylon,Thymelaeaceae,Accepted by TPL
Aextoxicaceae,Aextoxicaceae,Accepted by TPL
